No,Panjang,Lebar,warna,Bentuk,Tekstur Tepi,Bau,Tulang Daun,Tekstur Daun,Motif Daun,Nama Daun
1,4,0,2,23,0,2,2,0,0,Palem
2,4,0,2,23,0,2,2,0,0,Palem
3,7,0,2,23,0,2,2,0,0,Palem
4,7,0,2,23,0,2,2,0,0,Palem
5,6,0,2,23,0,2,2,0,0,Palem
6,7,0,2,23,0,2,2,0,0,Palem
7,7,0,2,23,0,2,2,0,0,Palem
8,7,0,2,23,0,2,2,0,0,Palem
9,7,0,2,23,0,2,2,0,0,Palem
10,6,0,2,23,0,2,2,0,0,Palem
11,4,2,2,6,0,1,1,0,0,Jambu
12,4,2,2,6,0,1,1,0,0,Jambu
13,6,3,2,6,0,1,1,0,0,Jambu
14,5,3,2,6,0,1,1,0,0,Jambu
15,2,2,2,6,0,1,1,0,0,Jambu
16,3,3,2,6,0,1,1,0,0,Jambu
17,3,3,2,6,0,1,1,0,0,Jambu
18,2,2,2,6,0,1,1,0,0,Jambu
19,0,1,2,6,0,1,1,0,0,Jambu
20,3,2,2,6,0,1,1,0,0,Jambu
21,3,0,2,18,3,1,0,0,0,Sunflower
22,3,1,2,18,3,1,0,0,0,Sunflower
23,4,1,2,18,3,1,0,0,0,Sunflower
24,3,0,2,18,3,1,0,0,0,Sunflower
25,2,0,2,18,3,1,0,0,0,Sunflower
26,2,0,2,18,3,1,0,0,0,Sunflower
27,3,0,2,18,3,1,0,0,0,Sunflower
28,3,1,2,18,3,1,0,0,0,Sunflower
29,2,0,2,18,3,1,0,0,0,Sunflower
30,3,1,2,18,3,1,0,0,0,Sunflower
31,4,2,2,6,3,1,0,1,0,Tanjung
32,4,2,2,6,3,1,0,1,0,Tanjung
33,3,2,2,6,3,1,0,1,0,Tanjung
34,3,2,2,6,3,1,0,1,0,Tanjung
35,4,2,2,6,3,1,0,1,0,Tanjung
36,4,2,2,6,3,1,0,1,0,Tanjung
37,3,2,2,6,3,1,0,1,0,Tanjung
38,4,2,2,6,3,1,0,1,0,Tanjung
39,2,2,2,6,3,1,0,1,0,Tanjung
40,4,2,2,6,3,1,0,1,0,Tanjung
41,2,3,1,1,3,0,0,0,2,Sirih
42,1,2,1,1,3,0,0,0,2,Sirih
43,1,2,1,1,3,0,0,0,2,Sirih
