No,Panjang,Lebar,warna,Bentuk,Tekstur Tepi,Bau,Tulang Daun,Tekstur Daun,Motif Daun,Nama Daun
1,1,2,2,16,3,1,1,0,0,Mangga_J
2,1,3,2,16,3,1,1,0,0,Mangga_J
3,1,2,2,16,3,1,1,0,0,Mangga_J
4,1,2,2,16,3,1,1,0,0,Mangga_J
5,1,3,2,16,3,1,1,0,0,Mangga_J
6,1,3,2,16,3,1,1,0,0,Mangga_J
7,1,2,2,16,3,1,1,0,0,Mangga_J
8,1,3,2,16,3,1,1,0,0,Mangga_J
9,1,3,2,16,3,1,1,0,0,Mangga_J
10,1,2,2,16,3,1,1,0,0,Mangga_J
11,5,2,2,6,3,1,1,1,0,Mangga_D
12,6,3,2,6,3,1,1,1,0,Mangga_D
13,7,2,2,6,3,1,1,1,0,Mangga_D
14,5,2,2,6,3,1,1,1,0,Mangga_D
15,7,2,1,6,3,1,1,1,0,Mangga_D
16,6,3,2,6,3,1,1,1,0,Mangga_D
17,7,2,2,6,3,1,1,1,0,Mangga_D
18,6,2,2,6,3,1,1,1,0,Mangga_D
19,7,3,2,6,3,1,1,1,0,Mangga_D
20,7,2,2,6,3,1,1,1,0,Mangga_D
21,3,3,2,16,0,2,1,0,1,Mangga_T
22,3,2,2,16,0,2,1,0,1,Mangga_T
23,3,4,2,16,0,2,1,0,1,Mangga_T
24,5,5,2,16,0,2,1,0,1,Mangga_T
25,4,4,2,16,0,2,1,0,1,Mangga_T
26,3,3,2,16,0,2,1,0,1,Mangga_T
27,3,3,2,16,0,2,1,0,1,Mangga_T
28,3,3,2,16,0,2,1,0,1,Mangga_T
29,2,3,2,16,0,2,1,0,1,Mangga_T
30,2,2,2,16,0,2,1,0,1,Mangga_T
31,4,3,2,16,0,2,1,0,1,Mangga_T
32,6,5,2,16,0,2,1,0,1,Mangga_T
33,4,5,2,16,0,2,1,0,1,Mangga_T
34,6,7,2,16,0,2,1,0,1,Mangga_T
35,4,5,2,16,0,2,1,0,1,Mangga_T
36,6,5,2,16,0,2,1,0,1,Mangga_T
37,3,2,2,16,0,2,1,0,1,Mangga_T
38,3,3,2,16,0,2,1,0,1,Mangga_T
39,4,3,2,16,0,2,1,0,1,Mangga_T
40,1,0,2,16,0,2,1,0,1,Mangga_T
