No,Panjang,Lebar,warna,Bentuk,Tekstur Tepi,Bau,Tulang Daun,Tekstur Daun,Motif Daun,Nama Daun
1,6,6,1,11,2,1,0,2,0,Paku
2,3,3,1,11,2,1,0,2,0,Paku
3,7,7,1,11,2,1,0,2,0,Paku
4,2,1,1,11,2,1,0,2,0,Paku
5,7,5,1,11,2,1,0,2,0,Paku
6,2,2,1,11,2,1,0,2,0,Paku
7,1,0,1,11,2,1,0,2,0,Paku
8,4,3,1,11,2,1,0,2,0,Paku
9,2,1,1,11,2,1,0,2,0,Paku
10,4,3,1,11,2,1,0,2,0,Paku
11,2,1,1,11,2,1,0,2,0,Paku
12,2,1,0,11,2,1,0,2,0,Paku
13,4,3,1,11,2,1,0,2,0,Paku
14,0,1,0,11,2,1,0,2,0,Paku
15,1,1,0,11,2,1,0,2,0,Paku
16,1,1,0,11,2,1,0,2,0,Paku
17,1,0,0,11,2,1,0,2,0,Paku
18,1,1,1,11,2,1,0,2,0,Paku
19,2,1,0,11,2,1,0,2,0,Paku
20,1,1,1,11,2,1,0,2,0,Paku
21,1,0,0,11,2,1,0,2,0,Paku
22,1,0,0,11,2,1,0,2,0,Paku
23,1,1,0,11,2,1,0,2,0,Paku
24,0,0,0,11,2,1,0,2,0,Paku
25,3,3,0,11,2,1,0,2,0,Paku
26,2,1,0,11,2,1,0,2,0,Paku
27,4,6,1,11,2,1,0,2,0,Paku
28,0,0,1,11,2,1,0,2,0,Paku
29,0,0,1,11,2,1,0,2,0,Paku
30,0,0,1,11,2,1,0,2,0,Paku
